time	AMP	Acetic_acid	Amadori	C5	Cn	Formic_acid	Fru	Glu	Melanoidin	Triose	lys_R
26.0.8.0	1.39345888790419	3.305158507956564	0.864636611611248	2.212355381423363	0.25937327032428503	2.212355381423363	29.771827071957485	116.2219186306717	3.279599530884001	6.161464025505099	9.462304969600556
27.0.200000000000003.0	1.390126905536107	3.354425805893033	0.8556935680395261	2.247320738519329	0.270332592430097	2.247320738519329	30.059501103472844	115.71837684253241	3.349268313482814	6.3209060374759	9.40491121294155
27.0.6.0	1.386515851238162	3.403578004575795	0.8468413610291611	2.282317545284637	0.281573080878872	2.282317545284637	30.343587830517354	115.2183350679322	3.4187632596357522	6.481695240450673	9.347879528096914
28.0.	1.3826412285419392	3.452621499903625	0.8380801774502881	2.317344886345292	0.293097081392787	2.317344886345292	30.624123490669994	114.72176198734478	3.488070791034109	6.643808958810655	9.291207802973648
28.0.400000000000002.0	1.378517860010984	3.501562653502276	0.829410072362695	2.352401856328801	0.30490690009104904	2.352401856328801	30.901143933930744	114.2286266047222	3.557178088265127	6.807224761843312	9.234893979361175
28.0.8.0	1.3741599123492692	3.550407787614036	0.820830983667408	2.387487559755064	0.317004803917639	2.387487559755064	31.174684627263236	113.73889824339324	3.626073057355563	6.971920461119903	9.17893604662774
29.0.200000000000003.0	1.369580921075247	3.59916318060132	0.812342745261995	2.422601110928493	0.32939302106448304	2.422601110928493	31.444780659083193	113.25254654206779	3.694744297561458	7.137874107903344	9.123332036101278
29.0.6.0	1.364793814703385	3.647835063001143	0.8039450988513751	2.457741633831355	0.34207374139009805	2.457741633831355	31.711466743693112	112.7695414509397	3.7631810703808912	7.305063990586014	9.06808001606432
30.0.	1.359810938385979	3.696429614073752	0.7956377045505111	2.492908262018326	0.355049116833762	2.492908262018326	31.97477722566378	112.28985322788107	3.831373269763838	7.473468632157129	9.013178087299641
30.0.400000000000002.0	1.354644076977539	3.744952958794424	0.787420150401494	2.528100138512258	0.36832126182526503	2.528100138512258	32.23474608416311	111.81345243472195	3.8993113934911143	7.6430667876993645	8.958624379129816
30.0.8.0	1.349304477492411	3.793411165242645	0.779291960915094	2.563316415701142	0.381892253690287	2.563316415701142	32.491406937232846	111.34030993361	3.966986515692776	7.813837441914336	8.904417045899677
31.0.200000000000003.0	1.343802870933507	3.841810242347502	0.771252604735686	2.59855625523627	0.395764133051457	2.59855625523627	32.74479304601346	110.87039688344493	4.034390260474975	7.9857598066766275	8.850554263855786
31.0.6.0	1.338149493476372	3.890156137952316	0.763301501518405	2.633818827931575	0.409938904225144	2.633818827931575	32.99493731891808	110.40368473638334	4.101514776623395	8.15881331861601	8.797034228381776
32.0.	1.332354106998253	3.9384547371652863	0.755438028098379	2.669103313664153	0.42441853561402304	2.669103313664153	33.241872315755636	109.94014523440977	4.168352713350731	8.33297763672749	8.743855151552582
32.0.4.0	1.3264260189466	3.986711860966307	0.7476615240237771	2.704408901275943	0.43920496009547005	2.704408901275943	33.48563025180375	109.4797504059706	4.234897197055234	8.5082326400089	8.691015259974328
32.0.800000000000004.0	1.320374101545457	4.034933265043118	0.7399712965171581	2.7397347884765653	0.45430007540583406	2.7397347884765653	33.726243001832174	109.02247256266732	4.301141809057245	8.684558425125669	8.638512792880078
33.0.2.0	1.314206810341704	4.083124638832676	0.7323666249230271	2.775080181747295	0.469705744520627	2.775080181747295	33.96374210407684	108.56828429600593	4.367080564280557	8.861935304102408	8.58634600045465
33.0.6.0	1.307932202096092	4.131291604746133	0.724846764693677	2.810444296246181	0.485423796030694	2.810444296246181	34.19815876416539	108.11715847420056	4.432707890845727	9.040343802041084	8.534513142364442
34.0.	1.301557952026488	4.179439717557924	0.7174109509600921	2.8458263557142742	0.5014560245143851	2.8458263557142742	34.42952385899441	107.66906823902757	4.498018610542687	9.219764654865346	8.483012486470676
34.0.4.0	1.295091370412882	4.227574463941504	0.710058401729945	2.881225592382966	0.517804190905804	2.881225592382966	34.65786794055911	107.22398700272956	4.563007920150461	9.400178807090779	8.431842307706654
34.0.800000000000004.0	1.288539418575468	4.275701262136019	0.702788320750496	2.91664124688243	0.534470022859149	2.91664124688243	34.88322123973568	106.78188844496574	4.6276713735723245	9.581567409620698	8.381000887101655
35.0.2.0	1.281908724238525	4.32382546172981	0.695599900070314	2.95207256815114	0.55145521510922	2.95207256815114	35.10561367001715	106.34274650980767	4.692004864755331	9.763911817567214	8.330486510935774
35.0.6.0	1.275205596294035	4.371952343548066	0.68849232233038	2.98751881334647	0.5687614298281091	2.98751881334647	35.3250748312029	105.90653540277867	4.756004611363814	9.947193588097269	8.280297470011714
36.0.	1.2684360389798681	4.420087119633237	0.681464762811964	3.022979247756347	0.586390296978141	3.022979247756347	35.54163401304273	105.47322958793502	4.819667139177186	10.131394478303296	8.230432059030926
36.0.4.0	1.261605765488116	4.468234933307991	0.6745163912659581	3.058453144711956	0.6043434146610841	3.058453144711956	35.75532019883552	105.04280378498773	4.882989267183088	10.316496443098217	8.180888576062783
36.0.800000000000004.0	1.254720211019705	4.516400859311496	0.667646373545803	3.093939785501483	0.6226223494636981	3.093939785501483	35.96616206898338	104.61523296646382	4.945968093337833	10.502481633134519	8.131665322096607
37.0.2.0	1.247784545301748	4.564589904000815	0.660853873063945	3.129438459284874	0.641228636799639	3.129438459284874	36.17418800450159	104.19049235490552	5.008600980966745	10.689332392747039	8.082760600667516
37.0.6.0	1.2408036845844181	4.612807005609964	0.6541380520897081	3.164948463009618	0.6601637812477801	3.164948463009618	36.379426090484934	103.76855742010655	5.070885545778012	10.87703125791925	8.03417271754782
38.0.	1.233782303134191	4.661057034560004	0.6474980729046901	3.200469101327524	0.6794292568869751	3.200469101327524	36.58190411953083	103.34940387638446	5.132819643464364	11.065560954272698	7.985899980496717
38.0.400000000000006.0	1.22672484424036	4.709344793814161	0.64093309883014	3.235999686512476	0.6990265076273161	3.235999686512476	36.781649595119795	102.93300767988819	5.194401357867793	11.254904395079334	7.93794069906167
38.0.800000000000004.0	1.219635530751673	4.757675019272645	0.634442295139325	3.271539538379178	0.7189569475379181	3.271539538379178	36.978689734953726	102.51934502593974	5.2556289896834	11.445044679296423	7.89029318442557
39.0.2.0	1.212518375159771	4.806052380202306	0.628024829866575	3.30708798420285	0.739221961171274	3.30708798420285	37.17305147425261	102.10839234640933	5.316501045679247	11.635965089623825	7.84295574929438
39.0.6.0	1.205377189245948	4.8544814796968545	0.621679874523518	3.342644358639891	0.759822903884217	3.342644358639891	37.36476146900994	101.70012630712331	5.377016228409942	11.827649090583304	7.7959267078205645
40.0.	1.198215593307467	4.902966855163706	0.6154066047319561	3.3782080036494593	0.7807611021555251	3.3782080036494593	37.55384609920757	101.29452380530424	5.437173426402547	12.020080326619633	7.749204375557995
