time	Ar	ArH	H2O2	NADH	NADrad	O2	coI	coII	coIII	per2	per3	super
6900.0.	7.77261704372917e-05	499.99992227382853	0.00013601738566	105.7489252090613	3.9752309172751475e-05	5.900164108592044	3.8406112696118535e-05	0.0011052280222900001	0.633766474062297	9.42150619181837e-05	0.764995676740792	0.00035999829673800005
7000.0.	0.00012131009578100001	499.9998786899031	0.000504588941896	112.75625135393109	4.682311402978667e-05	8.003952205483502	6.389370186995638e-05	0.0018397698310220001	1.096544504879861	3.2432031357672945e-05	0.301519399555883	0.0014401173892
7100.0.	0.001321888823282	499.9986781111755	7.3507762185740324e-06	97.54477964372508	0.008997088304983001	0.18599085711933303	0.00049735230132	0.020004395495132003	0.10231788775884501	0.249194545524372	1.02798581892032	0.00196631523725
7200.0.	6.677640251115041e-05	499.9999332235964	0.00010419236806000001	105.03173777324515	3.9366879122312676e-05	5.062387552619994	3.277940908119848e-05	0.0009428987469310001	0.548209381995142	0.00012162626350800001	0.8506933135853271	0.000275182852539
7300.0.	0.00010991014483000001	499.99989008985426	0.00033391607538700005	112.14605455494996	4.5002212909113185e-05	7.606796860110291	5.7575846561469814e-05	0.0016578657811110002	0.970368653472179	4.6299885862805744e-05	0.427869605014275	0.000934416226148
7400.0.	0.002719299073997	499.9972807009251	0.066210403010589	117.18138539460647	0.001043247846265	8.061189549075362	0.0015197602095300001	0.042067460892315	1.306279621939849	9.408232636085022e-05	0.050039074631933	0.054526803559858006
7500.0.	5.629630585789154e-05	499.99994370369404	7.849602486069827e-05	104.33087863739907	3.962680752514054e-05	4.14135851073958	2.7458755277146174e-05	0.000789407115149	0.48176563167428404	0.000163700095761	0.917253802359515	0.000210201276129
7600.0.	9.991145387269504e-05	499.99990008854616	0.000247755122422	111.54735962263894	4.367258894553146e-05	7.163983048770369	5.206168995333403e-05	0.001498926055775	0.8594283650538881	5.997758724249559e-05	0.538960669613127	0.00067994483374
7700.0.	0.000271314793511	499.9997286852063	0.011812266860502001	118.20407279606343	9.96458312115399e-05	8.522924574273798	0.000151559695755	0.004269032073102	1.367705609415854	6.002373230066672e-06	0.027867796442044002	0.014975008744938002
7800.0.	4.645639646479554e-05	499.99995354360385	5.613332737373714e-05	103.64650885634843	4.116417900158195e-05	3.140941954976823	2.251780244869207e-05	0.0006469775711100001	0.43300392986052505	0.000276043790036	0.9660505309758691	0.000157251681657
7900.0.	9.07336650014414e-05	499.99990926633535	0.000194572021149	110.96161926980025	4.2654554207150565e-05	6.677982121677394	4.703518335762355e-05	0.0013539846560000001	0.7628458408135971	7.409854323168416e-05	0.635679040803803	0.000525569628731
8000.0.	0.000145608879974	499.9998543911201	0.0014987049923500001	117.78588261401234	5.507555807386489e-05	8.329605642496835	8.021109313754123e-05	0.0023042869242740002	1.279016502254838	1.4778480741948982e-05	0.11858422124699501	0.004117034121853
8100.0.	3.7949321575149246e-05	499.9999620506773	3.557184036347435e-05	102.97932807721865	4.634805665915e-05	2.071860781372203	1.828027478840241e-05	0.0005249935366650001	0.39479947304961605	0.0062057841945450005	0.9984514689443731	0.00011299043178800001
8200.0.	8.214445955978514e-05	499.9999178555395	0.000157537860612	110.38940338321576	4.1894628663275824e-05	6.151314082342972	4.2367849935686084e-05	0.001219369244602	0.67961560707042	8.946293136974204e-05	0.7190331929036601	0.00042068551458800005
8300.0.	0.00012831727388500002	499.9998716827257	0.000716119999446	117.30881607027484	5.0387354227144894e-05	8.091270435809191	7.03225917669448e-05	0.002024364608238	1.171927086464268	2.605382861310607e-05	0.225952172507102	0.002063376320561
8400.0.	2.532164421580133e-05	499.9999746783549	1.7256952874501283e-05	102.32877005894659	5.401886741351052e-05	1.030980827388615	1.2210376416733671e-05	0.000345842394062	0.277998196770601	0.105442995495131	1.016200754963775	6.426326787184836e-05
8500.0.	7.401568202301656e-05	499.9999259843168	0.000129508871322	109.83086940353718	4.138209054417857e-05	5.586627969886534	3.7987450352777843e-05	0.001093010417182	0.608733033248114	0.00010718158622300001	0.7900287872981151	0.000343630298409
8600.0.	0.000118480171067	499.99988151982774	0.00047366668244300003	116.83458338356407	4.84271800919204e-05	7.828896019860228	6.466115678715908e-05	0.001861814838706	1.072979151148266	3.6950723969182736e-05	0.325057422132259	0.001353911625872
8700.0.	0.005425935365241	499.9945740646344	5.264450236488413e-05	102.15883242670039	0.029532018270631004	0.17116698073333803	0.002001701014871	0.08958284104455201	0.12475285187219101	0.19862743842844502	0.985035167639926	0.00627002294453
