time	species_0	species_1	species_10	species_11	species_12	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
3050.0.	1.00809484494467	998.9918088440514	499.999951844	6.017095870096883	93.98289449880299	3980.566522129837	19.347990829351875	0.08510180080132601	569.1888543477194	279.3966905707039	151.41435877057293	99.9999903689	499.999951844
3100.0.	5.783861405109463	994.216042283886	499.999951844	12.45372983812329	87.54626053077666	3734.8412205436935	253.9132640464178	11.245130169881358	891.5586253515937	86.32175598208113	22.119522355321983	99.9999903689	499.999951844
3150.0.	1.379550203306911	998.6203534856882	499.999951844	19.921655076722633	80.0783352921771	2685.738488094726	1032.4012014587208	281.85992520655	604.9787318410131	290.38387308506583	104.63729876291798	99.9999903689	499.999951844
3200.0.	0.47443060690958805	999.5254730820853	499.999951844	5.077557694377702	94.92243267452204	2941.6146047898674	836.4679425259422	221.9170674441901	209.59846368833888	311.4354155411885	478.96602445947065	99.9999903689	499.999951844
3250.0.	0.39478325782761003	999.6051204311676	499.999951844	3.027491262640417	96.9724991062594	3273.689963751465	588.6211900012827	137.68846100724946	74.92059140756405	215.2510545463414	709.8282577350934	99.9999903689	499.999951844
3300.0.	0.40160437145016803	999.5982993175458	499.999951844	2.973587525352244	97.02640284354766	3616.8368481683347	322.68035399275516	60.48241259890458	78.48040596139145	240.14971121118418	681.3697865164231	99.9999903689	499.999951844
3350.0.	0.48462577500501003	999.5152779139903	499.999951844	3.451336150197345	96.5486542187026	3934.541093013806	59.88691240921211	5.571609336978359	202.6215425926356	338.18885445282876	459.1895066435349	99.9999903689	499.999951844
3400.0.	0.7530735868599241	999.246830102135	499.999951844	4.901716636782119	95.09827373211789	3988.892607525614	11.07810871119301	0.028898523187493003	449.9264214898299	325.7530017157256	224.32048048344413	99.9999903689	499.999951844
3450.0.	2.105693831866813	997.8942098571283	499.999951844	8.967246741078714	91.0327436278213	3925.629402853997	73.31174267951866	1.058469226475021	763.0996840256726	173.08317005711334	63.817049606214276	99.9999903689	499.999951844
3500.0.	16.764496893376048	983.2354067956192	499.999951844	19.742126443359403	80.25786392554072	2785.1470855723046	989.3840928667108	225.46843632097804	851.4602515757136	133.17672088063088	15.362931232656214	99.9999903689	499.999951844
