time	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
92.0.	0	0.026124197279710003	0.002842557828987	0.041562235335887	0.029014124472031003	0.40055503445099205	0.002596323535334	1.7378251833905243e-05	0	0.00036140362721900004	0.014921859529025002	0.013346760542608001	0.104681793822228	0	0.011942864662341	0.9945006804290091	1.038290872386688	0.003602472544272	0.9981744837148581	0.06404813766594701	0.0010644998998320001	0.550969753826233	0.053237726882172	0.026931310093133
94.0.	0	0.035726913532949	0.000946838843721	0.017807406359799	0.022728957664876002	0.152341028039524	0.002515217116829	4.1334928572958164e-05	0	0.000841662935422	0.031316529928764006	0.04896567928515701	0.20251765201969102	0	0.015258472357039001	0.9923716245985881	0.8709604182269081	0.005662830983652001	0.995586795799072	0.05515803508916901	0.0018810949762830002	0.678476270062461	0.09894545227437501	0.22240013232618802
96.0.	0	0.041451607480909	0.000627549207106	0.01175112490664	0.018386149852008	0.096192883394142	0.002436886285126	5.744056525800942e-05	0	0.001160411643219	0.040685982536494004	0.091289768369816	0.277614047748219	0	0.018875880684821003	0.9894834930411971	0.75676027753995	0.007346482537351	0.9937855652853911	0.047879983174586006	0.0024192190555320002	0.7865721768481061	0.094305609236565	0.511976571834726
98.0.	0	0.043943072044256	0.0005208852915500001	0.008742163198788	0.015154904682717001	0.069103976768373	0.0023343338046250004	6.915989226002882e-05	0	0.0013926957077380002	0.047250505978681	0.136396967362997	0.344565232920906	0	0.024208619360895002	0.9837335727170381	0.681878329310705	0.008722161295306001	0.992360825187871	0.041921586413345	0.0032272213238500004	0.874298942033068	0.06428414307871101	0.7449394015163221
100.0.	0	0.044461166187077	0.000510860515076	0.006805579606954001	0.012774293467422001	0.05301935695942601	0.0021773948483010002	7.874891512003033e-05	0	0.0015828134014660002	0.052492318721309	0.181930866890156	0.402805308908524	0	0.033579648813786	0.9674877540620891	0.6118490273554701	0.009846231061126	0.9911152129881081	0.037043549240687	0.004352610586463	0.936508661774177	0.035392591218734004	0.8861223876960861
102.0.	0	0.043900455515228004	0.000573676411754	0.005383030253877001	0.011015150029605	0.042469714426587	0.001942103432916	8.729111011422106e-05	0	0.0017521827225230001	0.057104829005831005	0.22668013597400202	0.44762974376437803	0	0.050667478383736	0.9116674888450791	0.523444196029845	0.010764925534415002	0.989945330452857	0.033049994450484003	0.005671812631274	0.960635935759588	0.016087547885534	0.9576277224749151
104.0.	0	0.042909649439202	0.0007076541288760001	0.004226287887712001	0.009720541254581001	0.035201028918445	0.001632615460094	9.533391394289046e-05	0	0.0019115393573920002	0.061398944186041006	0.27000836771089004	0.46851057532695606	0	0.080800358557647	0.744212105519208	0.395057049193388	0.011516124638308001	0.9887986781755631	0.029780572821200002	0.006986639580477001	0.9225246072902871	0.005733975665799001	0.9876191484759941
106.0.	0	0.042046573696302006	0.0009505262204020001	0.0031566136631330003	0.008805074527121001	0.030159442483676004	0.001272430460096	0.00010307136020600001	0	0.0020646451029850002	0.065469938627918	0.31151213263627403	0.442547746179184	0	0.134469524796545	0.35120129674626005	0.21717982079163903	0.012130753493210002	0.987660446611293	0.027104010993213003	0.008173186369245	0.787307758022964	0.001514824742164	0.9972182758625591
108.0.	0	0.041423093397424005	0.0014259353389380002	0.0019089013243720001	0.00815727134378	0.026547830927644	0.0008819065075400001	0.00011063147121700001	0	0.002214123861918	0.06940928681281801	0.351259575231246	0.324216058729134	0	0.24233505897953203	0.0020296884794650002	0.06750187451850201	0.012634054050373001	0.9865172926137631	0.024912834833638	0.009338544977959001	0.530649364918583	0.000288286304196	0.999519234962682
110.0.	0	0.041163684396684004	0.001663946855845	0.001113381845581	0.007709628903495001	0.023941078054027003	0.0007078011236030001	0.00011800538732600001	0	0.0023595351059550003	0.073148711335439	0.38928627619162304	0.219903551356146	0	0.32878458855422305	0.0014202175877430002	0.05238511524517701	0.013045974184073002	0.9853801819598301	0.023119055348095	0.010498736240670001	0.285304760672107	5.0092399676582514e-05	0.9998929942290911
