time	II	IIa	IIa_ATIII	IIa_alpha2M	PL	PT	RVV	V	Va	X	Xa	Xa_ATIII
22.0.	0.8818261532171701	0.000322114434019	0.42301182460547604	0.09483990774333201	0.04999998988287	1.171296370457903e-10	0.03	0.029165871759395	0.0008341181234750001	0.000255177625103	1.83063899120751e-05	0.19972641586785403
22.0.25.0	0.88177506351721	0.00029859215694100005	0.42307277206702404	0.094853572258823	0.049999989891407005	1.085923123878839e-10	0.03	0.029165753266150004	0.0008342366252570001	0.00023654444898900002	1.696966516006959e-05	0.199746385777257
22.0.5.0	0.8817277045405131	0.000276787657185	0.423129268872078	0.09486623893022	0.04999998989932301	1.0067619562517912e-10	0.03	0.029165643426242	0.0008343464730810001	0.000219271862515	1.5730545527046672e-05	0.19976489749128
22.0.75.0	0.881683803852063	0.00025657547963800004	0.42318164004075803	0.09487798062753701	0.049999989906663	9.33362346435682e-11	0.03	0.029165541607679	0.000834448298983	0.00020326051755700003	1.4581904345775972e-05	0.19978205748476
23.0.	0.8816431089122311	0.00023783933290200002	0.42323018685599	0.094888864898874	0.049999989913469	8.653062357637136e-11	0.03	0.029165447224635002	0.000834542688833	0.00018841831998500002	1.3517135266179842e-05	0.19979796445821701
23.0.25.0	0.881605385623733	0.00022047141977500002	0.42327518859734503	0.09489895435914501	0.049999989919779005	8.022057188231747e-11	0.03	0.029165359734074	0.0008346301857040001	0.000174659900043	1.2530114272470342e-05	0.19981270990546302
23.0.5.0	0.881570416984718	0.00020437181666900002	0.42331690414820505	0.09490830705040501	0.049999989925629006	7.437008942410056e-11	0.03	0.029165278632626003	0.000834711293003	0.00016190612138700002	1.161516447224968e-05	0.19982637863976901
23.0.75.0	0.8815380018402521	0.00018944789838500002	0.423355573485504	0.094916976775856	0.049999989931054006	6.894578650038897e-11	0.03	0.029165203453687002	0.000834786477366	0.00015008362597300002	1.076702345538581e-05	0.19983904928162502
24.0.	0.881507953724984	0.000175613804928	0.42339141906063904	0.094925013409447	0.049999989936083004	6.391668784355788e-11	0.03	0.029165133764735004	0.0008348561713480001	0.00013912441215800002	9.980813035207085e-06	0.199850794710889
24.0.25.0	0.881480099790357	0.000162789947288	0.423424647079497	0.094932463182857	0.049999989940745004	5.925405965287909e-11	0.03	0.029165069164836	0.000834920775908	0.000128965443619	9.252011198221623e-06	0.199861682485928
24.0.5.0	0.8814542798101681	0.000150902549337	0.42345544868897705	0.09493936895151701	0.049999989945068005	5.493124878823141e-11	0.03	0.029165009282344	0.0008349806627240001	0.00011954828680400001	8.576426101234002e-06	0.199871775232163
24.0.75.0	0.8814303452587651	0.00013988322320300002	0.42348400107683304	0.09494577044119801	0.04999998994907601	5.092353330245723e-11	0.03	0.029164953772752	0.0008350361763230001	0.00011081877486800001	7.950171966477962e-06	0.199881131002241
25.0.	0.8814081584565701	0.000129668575675	0.423510468491175	0.09495170447658101	0.04999998995279201	4.720798354152978e-11	0.03	0.029164902316717003	0.0008350876360740001	0.000102726696138	7.369646736326119e-06	0.199889803609916
