copasi_path	atol:1e-3_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-12_rtol:1e-10_linSol:1_nonlinSol:2_solAlg:3	atol:1e-10_rtol:1e-12_linSol:1_nonlinSol:2_solAlg:3	atol:1e-16_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-14_rtol:1e-14_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-16_linSol:1_nonlinSol:2_solAlg:3
copasi/models/bungay2003/bungay2003_fig4_user__model5_bungay3.cps	84.96836824889608	84.99947617986044	85.0027502589131	85.00280668151356	85.00277752211927	85.00280839673543	85.00280837992824	85.00280830789747	85.0028084005593	85.00280823488849
copasi/models/bungay2003/bungay2003_fig4_user__model6_bungay3.cps	108.63126018214699	109.41897609695197	109.43977246246888	109.4409309230334	109.43966084626035	109.4410263560743	109.44102597592124	109.4410262502851	109.44102640165826	109.44101339990736
copasi/models/bungay2006/bungay2006_fig3a_user__model0_bungay2.cps	0.009967379626498404	0.0002706790684103191	1.556231901343615e-05	1.4121606760795502e-06	1.6394299693006247e-05	1.3641179359938906e-08	1.5497212193848997e-08	1.0212338632263145e-08	1.3593012414181651e-08	1.050620348492605e-07
copasi/models/bungay2006a/bungay2006_fig3b_user__model0_bungay1.cps	0.24191212036042134	0.014042094167058502	0.0006745534295227104	7.61249157418001e-05	0.00048780669288279923	1.1282214007860014e-06	7.743649522613699e-07	9.83900664758179e-07	1.1689187290075744e-06	2.3269109366022963e-06
copasi/models/butenas2004/butenas2004_fig1_user__model0_butenas1.cps	8.240367795418349e-09	8.573869627909288e-09	8.60056884221521e-09	8.600663865148613e-09	8.600738286096501e-09	8.600597413195147e-09	8.600597401195239e-09	8.600598793194234e-09	8.60059740219516e-09	8.600595624196428e-09
copasi/models/chance1943/chance1943_fig12_user__model0_chance3.cps	0.0032670299960964448	0.000887463839071885	9.051118408328373e-06	2.1138955614030544e-06	2.5342641794645266e-06	1.1000607293768546e-09	1.1061340176903404e-09	2.062038503854828e-08	1.1061340176903404e-09	4.4294984985840057e-08
copasi/models/chance1943/chance1943_fig12_user__model1_chance3.cps	0.6835218275378657	0.6839718309617956	0.6840459488997055	0.6840457352718301	0.6840459772345905	0.6840457513641165	0.6840457512980286	0.6840457505591394	0.6840457513604882	0.6840457502198879
copasi/models/chance1943/chance1943_fig12_user__model2_chance3.cps	0.7946873849462328	0.7946915287586062	0.794680997653216	0.7946810656494689	0.7946810759658838	0.7946811020052097	0.7946811020111751	0.7946811020748066	0.794681102001775	0.7946811022899237
copasi/models/chance1943/chance1943_fig12_user__model3_chance3.cps	0.0006856504866048309	7.279253447444683e-05	7.062281164104464e-07	1.0901899346564358e-07	5.744795875621797e-07	1.1563691163574963e-09	1.2068125248027539e-09	1.2367172396341953e-09	1.1227402218411452e-09	5.360120878686545e-09
copasi/models/curto1998/curto1998_fig2_user__curto1_Fig2B.cps	0.0006653319718294567	0.00048293522615090343	1.4350824687266094e-06	1.1955965442394926e-06	2.639494993873012e-07	3.6621467504709106e-09	3.618864304675152e-09	3.1442646645085746e-08	3.618864304675152e-09	3.1526716397743988e-09
