time	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
648.0.	0.00010448444932000001	1.0187163832730499e-06	5.548391455542972e-11	0	4.1197334190891214e-07	1.1142439573864652e-17	1.4327364840042911e-06	1.7229229745169978e-07	0.013519781129202001	5.309829322858832e-07	0.017296340038202	0.035737760042429005	1.387148409416824e-08	0.93344253816176
657.0.	0.000104598965691	9.567933186499845e-07	5.396674357260263e-11	0	4.1116411267093773e-07	1.142383220329297e-17	1.34490498828058e-06	1.6173023253258952e-07	0.012684072951656002	5.158975961280211e-07	0.016218239532431	0.035628497758478005	1.4103675709572792e-08	0.935465785109545
666.0.	0.000104706947968	8.984786071683753e-07	5.24730697455187e-11	0	4.1029581760060383e-07	1.1705747906864851e-17	1.26229112835756e-06	1.5179560499583822e-07	0.011898718467996	5.011009520414085e-07	0.015206297108270001	0.035516578912814005	1.433514760097974e-08	0.9373751671611891
675.0.	0.000104808739214	8.435806943090379e-07	5.10040180504633e-11	0	4.093722474956645e-07	1.1988090146930011e-17	1.18460429798027e-06	1.4245346882951622e-07	0.011160844260007002	4.865984767161307e-07	0.014256574878513001	0.035402202690306	1.456588313648656e-08	0.9391772969451031
684.0.	0.00010490466866600001	7.919159246964879e-07	4.956055803707116e-11	0	4.0839701032211364e-07	1.2270766634476332e-17	1.111567847851655e-06	1.3367055633841792e-07	0.010467720991284	4.723945016831264e-07	0.013365355177145	0.035285556944104006	1.4795866943116313e-08	0.9408784340961991
693.0.	0.000104995051758	7.433085049069201e-07	4.8143514556448056e-11	0	4.0737353583494567e-07	1.255368925584588e-17	1.042918673606204e-06	1.254152286026215e-07	0.009816758711570001	4.584923045540218e-07	0.012529129879507	0.035166818745616	1.502508483488031e-08	0.942484500081831
702.0.	0.00010508019024400001	6.975904216583905e-07	4.675357811095837e-11	0	4.063050806380802e-07	1.2836773989607281e-17	9.784067839646523e-07	1.1765742355221771e-07	0.009205501961461	4.448941952983563e-07	0.011744590050482001	0.035046154917856	1.525352374436583e-08	0.9440010929160191
711.0.	0.000105160372369	6.546013223297272e-07	4.5391314796055693e-11	0	4.0519473359052697e-07	1.3119940815012571e-17	9.177948540780926e-07	1.103686022605028e-07	0.00863162474227	4.316015976465618e-07	0.011008615934129001	0.034923722551423	1.5481171657738103e-08	0.9454335016845051
720.0.	0.00010523587311800001	6.141883640684724e-07	4.405717581282709e-11	0	4.040454214756313e-07	1.340311361336642e-17	8.60857768573293e-07	1.0352169399822419e-07	0.008092925406930001	4.186151257326573e-07	0.010318267294472001	0.034799669502539	1.57080175530417e-08	0.9467867208156111
729.0.	0.000105306954499	5.762060370976023e-07	4.275150653713652e-11	0	4.028599148594452e-07	1.3686220063535242e-17	8.073821583287491e-07	9.709104053347536e-08	0.007587321519724001	4.0593465611120673e-07	0.009670774113834001	0.034674134872791	1.5934051341683322e-08	0.948065464043042
